"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F2.ON","N",0.95,78,"BLR","High","Independence",100,16,"0.58"
"Power","F2.ON","N",0.95,79,"BLR","High","Independence",300,6,"1.00"
"Power","F2.ON","N",0.95,80,"BLR","High","Independence",300,10,"1.00"
"Power","F2.ON","N",0.95,81,"BLR","High","Independence",300,16,"1.00"
"Power","F2.ON","N",0.95,82,"BLR","High","Independence",3000,6,"1.00"
"Power","F2.ON","N",0.95,83,"BLR","High","Independence",3000,10,"1.00"
"Power","F2.ON","N",0.95,84,"BLR","High","Independence",3000,16,"1.00"
"Power","F2.ON","N",0.95,85,"BLR","High","Moderate",50,6,"0.00"
"Power","F2.ON","N",0.95,86,"BLR","High","Moderate",50,10,"0.00"
"Power","F2.ON","N",0.95,87,"BLR","High","Moderate",50,16,"0.00"
"Power","F2.ON","N",0.95,88,"BLR","High","Moderate",100,6,"0.80"
"Power","F2.ON","N",0.95,89,"BLR","High","Moderate",100,10,"0.62"
"Power","F2.ON","N",0.95,90,"BLR","High","Moderate",100,16,"0.36"
"Power","F2.ON","N",0.95,91,"BLR","High","Moderate",300,6,"1.00"
"Power","F2.ON","N",0.95,92,"BLR","High","Moderate",300,10,"1.00"
"Power","F2.ON","N",0.95,93,"BLR","High","Moderate",300,16,"1.00"
"Power","F2.ON","N",0.95,94,"BLR","High","Moderate",3000,6,"1.00"
"Power","F2.ON","N",0.95,95,"BLR","High","Moderate",3000,10,"1.00"
"Power","F2.ON","N",0.95,96,"BLR","High","Moderate",3000,16,"1.00"
"Power","F2.ON","N",0.95,97,"BLR","High","Strong",50,6,"99"
"Power","F2.ON","N",0.95,98,"BLR","High","Strong",50,10,"0.00"
"Power","F2.ON","N",0.95,99,"BLR","High","Strong",50,16,"99"
"Power","F2.ON","N",0.95,100,"BLR","High","Strong",100,6,"1.00"
"Power","F2.ON","N",0.95,101,"BLR","High","Strong",100,10,"0.33"
"Power","F2.ON","N",0.95,102,"BLR","High","Strong",100,16,"0.50"
"Power","F2.ON","N",0.95,103,"BLR","High","Strong",300,6,"0.93"
"Power","F2.ON","N",0.95,104,"BLR","High","Strong",300,10,"1.00"
"Power","F2.ON","N",0.95,105,"BLR","High","Strong",300,16,"1.00"
"Power","F2.ON","N",0.95,106,"BLR","High","Strong",3000,6,"1.00"
"Power","F2.ON","N",0.95,107,"BLR","High","Strong",3000,10,"1.00"
"Power","F2.ON","N",0.95,108,"BLR","High","Strong",3000,16,"1.00"
"Power","F2.ON","N",0.95,109,"BMR","Low","Independence",50,6,"0.71"
"Power","F2.ON","N",0.95,110,"BMR","Low","Independence",50,10,"0.67"
"Power","F2.ON","N",0.95,111,"BMR","Low","Independence",50,16,"0.70"
"Power","F2.ON","N",0.95,112,"BMR","Low","Independence",100,6,"0.92"
"Power","F2.ON","N",0.95,113,"BMR","Low","Independence",100,10,"1.00"
"Power","F2.ON","N",0.95,114,"BMR","Low","Independence",100,16,"0.99"
"Power","F2.ON","N",0.95,115,"BMR","Low","Independence",300,6,"1.00"
"Power","F2.ON","N",0.95,116,"BMR","Low","Independence",300,10,"1.00"
"Power","F2.ON","N",0.95,117,"BMR","Low","Independence",300,16,"1.00"
"Power","F2.ON","N",0.95,118,"BMR","Low","Independence",3000,6,"1.00"
"Power","F2.ON","N",0.95,119,"BMR","Low","Independence",3000,10,"1.00"
"Power","F2.ON","N",0.95,120,"BMR","Low","Independence",3000,16,"1.00"
"Power","F2.ON","N",0.95,121,"BMR","Low","Moderate",50,6,"0.50"
"Power","F2.ON","N",0.95,122,"BMR","Low","Moderate",50,10,"0.69"
"Power","F2.ON","N",0.95,123,"BMR","Low","Moderate",50,16,"0.79"
"Power","F2.ON","N",0.95,124,"BMR","Low","Moderate",100,6,"0.89"
"Power","F2.ON","N",0.95,125,"BMR","Low","Moderate",100,10,"0.95"
"Power","F2.ON","N",0.95,126,"BMR","Low","Moderate",100,16,"1.00"
"Power","F2.ON","N",0.95,127,"BMR","Low","Moderate",300,6,"1.00"
"Power","F2.ON","N",0.95,128,"BMR","Low","Moderate",300,10,"1.00"
"Power","F2.ON","N",0.95,129,"BMR","Low","Moderate",300,16,"1.00"
"Power","F2.ON","N",0.95,130,"BMR","Low","Moderate",3000,6,"1.00"
"Power","F2.ON","N",0.95,131,"BMR","Low","Moderate",3000,10,"1.00"
"Power","F2.ON","N",0.95,132,"BMR","Low","Moderate",3000,16,"1.00"
"Power","F2.ON","N",0.95,133,"BMR","Low","Strong",50,6,"0.74"
"Power","F2.ON","N",0.95,134,"BMR","Low","Strong",50,10,"0.72"
"Power","F2.ON","N",0.95,135,"BMR","Low","Strong",50,16,"0.79"
"Power","F2.ON","N",0.95,136,"BMR","Low","Strong",100,6,"0.90"
"Power","F2.ON","N",0.95,137,"BMR","Low","Strong",100,10,"0.96"
"Power","F2.ON","N",0.95,138,"BMR","Low","Strong",100,16,"0.99"
"Power","F2.ON","N",0.95,139,"BMR","Low","Strong",300,6,"1.00"
"Power","F2.ON","N",0.95,140,"BMR","Low","Strong",300,10,"1.00"
"Power","F2.ON","N",0.95,141,"BMR","Low","Strong",300,16,"1.00"
"Power","F2.ON","N",0.95,142,"BMR","Low","Strong",3000,6,"1.00"
"Power","F2.ON","N",0.95,143,"BMR","Low","Strong",3000,10,"1.00"
"Power","F2.ON","N",0.95,144,"BMR","Low","Strong",3000,16,"1.00"
"Power","F2.ON","N",0.95,145,"BMR","Wide","Independence",50,6,"0.64"
"Power","F2.ON","N",0.95,146,"BMR","Wide","Independence",50,10,"0.72"
"Power","F2.ON","N",0.95,147,"BMR","Wide","Independence",50,16,"0.88"
"Power","F2.ON","N",0.95,148,"BMR","Wide","Independence",100,6,"0.97"
"Power","F2.ON","N",0.95,149,"BMR","Wide","Independence",100,10,"1.00"
"Power","F2.ON","N",0.95,150,"BMR","Wide","Independence",100,16,"0.97"
"Power","F2.ON","N",0.95,151,"BMR","Wide","Independence",300,6,"1.00"
"Power","F2.ON","N",0.95,152,"BMR","Wide","Independence",300,10,"1.00"
"Power","F2.ON","N",0.95,153,"BMR","Wide","Independence",300,16,"1.00"
"Power","F2.ON","N",0.95,154,"BMR","Wide","Independence",3000,6,"1.00"
"Power","F2.ON","N",0.95,155,"BMR","Wide","Independence",3000,10,"1.00"
"Power","F2.ON","N",0.95,156,"BMR","Wide","Independence",3000,16,"1.00"
"Power","F2.ON","N",0.95,157,"BMR","Wide","Moderate",50,6,"0.55"
"Power","F2.ON","N",0.95,158,"BMR","Wide","Moderate",50,10,"0.64"
"Power","F2.ON","N",0.95,159,"BMR","Wide","Moderate",50,16,"0.75"
"Power","F2.ON","N",0.95,160,"BMR","Wide","Moderate",100,6,"0.95"
"Power","F2.ON","N",0.95,161,"BMR","Wide","Moderate",100,10,"0.99"
"Power","F2.ON","N",0.95,162,"BMR","Wide","Moderate",100,16,"1.00"
"Power","F2.ON","N",0.95,163,"BMR","Wide","Moderate",300,6,"1.00"
"Power","F2.ON","N",0.95,164,"BMR","Wide","Moderate",300,10,"1.00"
"Power","F2.ON","N",0.95,165,"BMR","Wide","Moderate",300,16,"1.00"
"Power","F2.ON","N",0.95,166,"BMR","Wide","Moderate",3000,6,"1.00"
"Power","F2.ON","N",0.95,167,"BMR","Wide","Moderate",3000,10,"1.00"
"Power","F2.ON","N",0.95,168,"BMR","Wide","Moderate",3000,16,"1.00"
"Power","F2.ON","N",0.95,169,"BMR","Wide","Strong",50,6,"0.55"
"Power","F2.ON","N",0.95,170,"BMR","Wide","Strong",50,10,"0.75"
"Power","F2.ON","N",0.95,171,"BMR","Wide","Strong",50,16,"0.84"
"Power","F2.ON","N",0.95,172,"BMR","Wide","Strong",100,6,"0.99"
"Power","F2.ON","N",0.95,173,"BMR","Wide","Strong",100,10,"0.99"
"Power","F2.ON","N",0.95,174,"BMR","Wide","Strong",100,16,"1.00"
"Power","F2.ON","N",0.95,175,"BMR","Wide","Strong",300,6,"1.00"
"Power","F2.ON","N",0.95,176,"BMR","Wide","Strong",300,10,"1.00"
"Power","F2.ON","N",0.95,177,"BMR","Wide","Strong",300,16,"1.00"
"Power","F2.ON","N",0.95,178,"BMR","Wide","Strong",3000,6,"1.00"
